timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:00:29.312456,London,13.2,Partly cloudy,51,17.3
timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:00:39.442023,London,13.3,Partly cloudy,51,17.3
timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:00:49.266196,London,13.3,Partly cloudy,51,17.3
timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:00:59.297936,London,13.3,Partly cloudy,51,17.3
timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:01:09.393553,London,13.3,Partly cloudy,51,17.3
timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:01:19.283456,London,13.3,Partly cloudy,51,17.3
timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:01:29.279815,London,13.3,Partly cloudy,51,17.3
timestamp,city,temperature,weather,humidity,wind_speed
2025-04-02 16:01:39.327612,London,13.3,Partly cloudy,51,17.3
